,Company,Location,Global Company Size,Industry,Salaries,Jobs,Rating,Reviews
0,Tata Consultancy Services,39 office locations,10000+ Employees,Computer Hardware Development,47.8TSalaries,1.4TJobs,3.9★,1.1LReviews
1,Accenture,37 office locations,10000+ Employees,Business Consulting,27.4TSalaries,35.5TJobs,4.1★,1.3LReviews
2,Infosys,34 office locations,10000+ Employees,Information Technology Support Services,30.9TSalaries,3.2TJobs,3.9★,87TReviews
3,Amazon,65 office locations,10000+ Employees,Internet & Web Services,10.2TSalaries,33.8TJobs,4.3★,1.5LReviews
4,Cognizant Technology Solutions,27 office locations,10000+ Employees,Information Technology Support Services,34.7TSalaries,5.7TJobs,3.9★,80.9TReviews
5,Deloitte,31 office locations,10000+ Employees,Accounting & Tax,15.8TSalaries,79.8TJobs,4.1★,88TReviews
6,IBM,37 office locations,10000+ Employees,Information Technology Support Services,8.4TSalaries,8.1TJobs,4.1★,97TReviews
7,Capgemini,53 office locations,10000+ Employees,Enterprise Software & Network Solutions,28TSalaries,9.2TJobs,4.0★,61.7TReviews
8,Wipro,38 office locations,10000+ Employees,Information Technology Support Services,20.7TSalaries,2.7TJobs,3.8★,49.3TReviews
9,EY,"Headquarters in London, United Kingdom",10000+ Employees,Accounting & Tax,9.2TSalaries,55.4TJobs,3.9★,63.5TReviews
10,HCLTech,26 office locations,10000+ Employees,Computer Hardware Development,11.8TSalaries,561Jobs,3.7★,37.1TReviews
11,Oracle,44 office locations,10000+ Employees,Enterprise Software & Network Solutions,4.8TSalaries,4.6TJobs,3.9★,44.8TReviews
12,PwC,49 office locations,1001 to 5000 Employees,Accounting & Tax,6.1TSalaries,39.5TJobs,3.9★,64.5TReviews
13,Tech Mahindra,29 office locations,10000+ Employees,Information Technology Support Services,9.9TSalaries,711Jobs,3.6★,29.2TReviews
14,Microsoft,60 office locations,10000+ Employees,Computer Hardware Development,4.3TSalaries,1.8TJobs,4.4★,43.9TReviews
15,KPMG,25 office locations,10000+ Employees,Business Consulting,5.8TSalaries,32.4TJobs,3.8★,49.9TReviews
16,Google,"Headquarters in Mountain View, CA",10000+ Employees,Internet & Web Services,3.5TSalaries,2.2TJobs,4.5★,37.2TReviews
17,Teleperformance,37 office locations,5001 to 10000 Employees,Telecommunications Services,2.2TSalaries,2.8TJobs,4.6★,39.4TReviews
18,Cisco Systems,25 office locations,10000+ Employees,Enterprise Software & Network Solutions,2.8TSalaries,1.4TJobs,4.4★,29.4TReviews
19,Dell Technologies,25 office locations,10000+ Employees,Information Technology Support Services,2.9TSalaries,1.6TJobs,4.3★,30TReviews
20,Wells Fargo,25 office locations,10000+ Employees,Banking & Lending,1.4TSalaries,11.5TJobs,3.7★,42.6TReviews
21,BYJU'S,25 office locations,10000+ Employees,Primary & Secondary Schools,2.7TSalaries,7Jobs,3.5★,14.8TReviews
22,DXC Technology,26 office locations,10000+ Employees,Information Technology Support Services,2.3TSalaries,1.7TJobs,3.6★,21.3TReviews
23,Genpact,64 office locations,10000+ Employees,Information Technology Support Services,5.7TSalaries,6.8TJobs,4.0★,17.5TReviews
24,LTI,27 office locations,10000+ Employees,Information Technology Support Services,4.9TSalaries,1.9TJobs,3.8★,11.4TReviews
25,J.P. Morgan,25 office locations,10000+ Employees,Investment & Asset Management,4.1TSalaries,9Jobs,4.1★,22.6TReviews
26,SAP,28 office locations,10000+ Employees,Enterprise Software & Network Solutions,1.7TSalaries,1.6TJobs,4.4★,26TReviews
27,Qualcomm,34 office locations,10000+ Employees,Computer Hardware Development,1.6TSalaries,5Jobs,4.1★,9.1TReviews
28,Concentrix,30 office locations,10000+ Employees,Information Technology Support Services,1.8TSalaries,2.6TJobs,4.1★,23.4TReviews
29,Citi,26 office locations,10000+ Employees,Investment & Asset Management,1.7TSalaries,13.5TJobs,3.9★,28.6TReviews
30,Intel Corporation,32 office locations,10000+ Employees,Computer Hardware Development,1TSalaries,311Jobs,4.3★,25.9TReviews
31,HSBC,8 office locations,10000+ Employees,Banking & Lending,2.4TSalaries,2.8TJobs,3.8★,24.6TReviews
32,Walmart,4 office locations,1001 to 5000 Employees,General Merchandise & Superstores,535Salaries,11.5TJobs,3.3★,1.1LReviews
33,Bank of America,25 office locations,10000+ Employees,Banking & Lending,1.2TSalaries,6.2TJobs,4.0★,35.9TReviews
34,ABC,7 office locations,10000+ Employees,Broadcast Media,5TSalaries,25Jobs,3.9★,12.8TReviews
35,Mindtree,31 office locations,10000+ Employees,Information Technology Support Services,4.3TSalaries,2.4TJobs,4.0★,10.3TReviews
36,Target,5 office locations,1001 to 5000 Employees,General Merchandise & Superstores,545Salaries,13.8TJobs,4.4★,69.2TReviews
37,Goldman Sachs,25 office locations,10000+ Employees,Investment & Asset Management,2.5TSalaries,1.1TJobs,4.0★,15TReviews
38,Honeywell,25 office locations,10000+ Employees,Computer Hardware Development,1.6TSalaries,3.8TJobs,4.0★,18TReviews
