,Company,Sector,Headquater,Types,Rating,Reviews
0,ICICI Bank,Public,"Mumbai,Maharashtra + 1038 more",Financial Services,4.0,34.9k Reviews
1,HDFC Bank,Public,"Mumbai,Maharashtra + 1212 more",Financial Services,4.0,39.8k Reviews
2,HDB Financial Se...,None,"Ahmedabad,Gujrat + 773 more",Financial Services,4.0,13.4k Reviews
3,Larsen & Toubro ...,Public,"Mumbai,Maharashtra + 523 more",Industrial Machinery,4.1,24.8k Reviews
4,Kotak Mahindra B...,Public,"Mumbai,Maharashtra + 470 more",Financial Services,3.9,13.7k Reviews
5,Axis Bank,Public,"Mumbai,Maharashtra + 1069 more",Financial Services,3.9,19.1k Reviews
6,Karma Ayurveda,None,None,Healthcare,4.6,668 Reviews
7,Vodafone Idea,Public,"Gandhinagar,Gujrat + 561 more",Telecom,4.2,13.9k Reviews
8,Max Healthcare,None,"Delhi/NCR,New Delhi + 51 more",Healthcare,4.1,1.7k Reviews
9,TCS,Public,"Mumbai,Maharashtra + 275 more",BPO,3.9,49.6k Reviews
10,XcelServ Solutio...,None,"Las Vegas,Nevada + 33 more",IT Services & Consulting,4.7,805 Reviews
11,Mankind Pharma,None,"New Delhi,Delhi + 149 more",Manufacturing,4.2,1.8k Reviews
12,Yes Bank,Public,"Mumbai,Maharashtra + 356 more",Financial Services,4.0,4.6k Reviews
13,Apollo Hospitals,Public,"San Francisco,California + 164 more",Healthcare,4.1,5.5k Reviews
14,Indian Air Force,None,"New Delhi,Delhi + 98 more",Defence & Aerospace,4.6,2k Reviews
15,Reliance jio,Public,"Navi Mumbai,Maharashtra + 962 more",Telecom,4.0,15k Reviews
16,IndusInd Bank,Public,"Gurgaon/Gurugram,Haryana + 553 more",Financial Services,3.8,6.8k Reviews
17,Indian Army,Public,"New Delhi,Delhi + 269 more",Defence & Aerospace,4.7,4.2k Reviews
18,Amazon,Public,"Seattle,Washington + 384 more",Internet,4.3,18.2k Reviews
19,Shapoorji Pallon...,None,"Mumbai,Maharashtra + 137 more",Power,4.3,6.8k Reviews
20,Wipro,Public,"Bangalore/Bengaluru,Karnataka + 231 more",IT Services & Consulting,3.9,28.6k Reviews
21,Bharti Airtel,Public,"Gurgaon/Gurugram,Haryana + 509 more",Telecom,4.1,12.9k Reviews
22,Relaxo Footwear,Public,"New Delhi,Delhi + 96 more",Fashion & Textile,4.1,903 Reviews
23,IDFC FIRST Bank,Public,"Mumbai,Maharashtra + 390 more",Financial Services,4.0,5.2k Reviews
24,Reliance Retail,None,"Navi Mumbai,Maharashtra + 640 more",Jewellery,4.1,15.6k Reviews
25,Akal Information...,None,"Delhi/NCR,New Delhi + 23 more",IT Services & Consulting,4.3,399 Reviews
26,NatWest Group,None,Gurgaon/Gurugram + 18 more,Financial Services,4.1,2.2k Reviews
27,Bses Rajdhani Po...,None,"Delhi/NCR,New Delhi + 5 more",Power,3.8,652 Reviews
28,EaseMyTrip.com,Public,"Delhi,NCT + 6 more",Internet,4.4,335 Reviews
29,McDonald's,None,"Chicago,Illinois + 122 more",Retail,4.3,2k Reviews
30,Chegg,None,"Santa Clara,California + 54 more",Internet,4.4,858 Reviews
31,Aakash Institute,None,"New Delhi,Delhi + 141 more",Education & Training,3.7,1.9k Reviews
32,Tata Motors,Public,"Pune,Maharashtra + 390 more",Automobile,4.1,12.5k Reviews
33,Intex Technologi...,Public,"Delhi/NCR,New Delhi + 71 more",Consumer goods,3.9,778 Reviews
34,GMR Group,Public,"Delhi/NCR,New Delhi + 47 more",Power,4.2,1.7k Reviews
35,Jindal X,Public,"New Delhi,Delhi + 11 more",BPO/KPO,3.2,648 Reviews
36,ICICI Prudential...,Public,"Mumbai,Maharashtra + 398 more",Financial Services,4.1,4.5k Reviews
37,Maruti Suzuki,Public,"New Delhi,Delhi + 374 more",Automobile,4.1,6k Reviews
